City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,-20.06,65,6,3.51,GL,1679325098
1,brae,60.3964,-1.353,6.23,62,73,2.83,GB,1679325098
2,te anau,-45.4167,167.7167,7.53,94,100,2.24,NZ,1679325099
3,san patricio,28.017,-97.5169,15.91,61,100,2.93,US,1679325099
4,olafsvik,64.8945,-23.7142,-0.06,72,90,5.63,IS,1679325099
5,nantucket,41.2835,-70.0995,6.08,49,0,7.2,US,1679325100
6,atuona,-9.8,-139.0333,26.51,72,6,6.56,PF,1679325100
7,pathalgaon,22.5667,83.4667,22.93,41,62,0.8,IN,1679325101
8,rikitea,-23.1203,-134.9692,26.26,78,12,4.53,PF,1679325101
9,puerto ayora,-0.7393,-90.3518,29.98,87,17,2.68,EC,1679325014
10,lodja,-3.4833,23.4333,23.53,81,99,0.82,CD,1679325101
11,port alfred,-33.5906,26.891,24.97,72,94,5.96,ZA,1679324879
12,lebu,-37.6167,-73.65,15.33,57,50,8.03,CL,1679325103
13,mataura,-46.1927,168.8643,8.03,99,100,6.57,NZ,1679325103
14,bredasdorp,-34.5322,20.0403,23.35,41,86,8.94,ZA,1679325103
15,frankfort,-27.2667,28.4833,29.08,23,62,2.04,ZA,1679325104
16,kloulklubed,7.0419,134.2556,27.28,74,35,7.65,PW,1679325104
17,bluff,-46.6,168.3333,10.19,89,100,15.48,NZ,1679325104
18,vaini,-21.2,-175.2,24.09,94,75,4.12,TO,1679325104
19,butaritari,3.0707,172.7902,26.88,80,16,5.54,KI,1679325105
20,ambo,-10.1308,-76.2047,20.42,58,99,1.43,PE,1679325105
21,vila velha,-20.3297,-40.2925,30.53,73,20,4.12,BR,1679324972
22,torbay,47.6666,-52.7314,1.43,64,84,8.94,CA,1679325105
23,cascavel,-24.9558,-53.4553,26.1,60,7,2.31,BR,1679325106
24,desaguadero,-16.5656,-69.0417,10.27,62,74,2.99,PE,1679325106
25,avarua,-21.2078,-159.775,24.03,94,75,3.6,CK,1679325106
26,ahipara,-35.1667,173.1667,15.5,90,57,2.01,NZ,1679325107
27,pisco,-13.7,-76.2167,23.34,83,31,2.82,PE,1679325107
28,puerto carreno,6.189,-67.4859,33.43,29,71,4.79,CO,1679325107
29,saldanha,-33.0117,17.9442,19.0,66,1,7.35,ZA,1679325107
30,saint-augustin,51.226,-58.6502,-3.45,82,100,12.2,CA,1679325108
31,dukat,62.55,155.55,-32.62,100,95,2.45,RU,1679325108
32,raudeberg,61.9875,5.1352,5.37,76,79,2.78,NO,1679325108
33,hobart,-42.8794,147.3294,10.03,80,40,3.6,AU,1679325109
34,sarangani,5.4033,125.4636,27.8,77,46,9.63,PH,1679325109
35,riverton,40.5219,-111.9391,5.58,86,100,6.71,US,1679325109
36,victoria,22.2855,114.1577,24.55,89,13,0.45,HK,1679324988
37,nikolskoye,59.7035,30.7861,8.94,97,100,3.27,RU,1679325109
38,hithadhoo,-0.6,73.0833,28.53,70,68,1.56,MV,1679325110
39,tabou,4.423,-7.3528,28.04,77,44,4.76,CI,1679325110
40,gushikawa,26.3544,127.8686,21.0,84,40,4.12,JP,1679325110
41,souillac,-20.5167,57.5167,26.17,83,98,2.58,MU,1679325110
42,tigil,57.8,158.6667,-16.16,91,95,1.91,RU,1679325111
43,ostrovnoy,68.0531,39.5131,-1.07,92,89,8.89,RU,1679325111
44,acajutla,13.5928,-89.8275,29.88,52,29,2.32,SV,1679325111
45,baykit,61.67,96.37,-25.22,100,61,0.95,RU,1679325112
46,chokurdakh,70.6333,147.9167,-29.58,93,100,8.42,RU,1679325112
47,bud,39.447,-86.1758,3.81,52,7,5.39,US,1679325112
48,araouane,18.9048,-3.5265,32.81,11,0,4.4,ML,1679325112
49,georgetown,5.4112,100.3354,26.96,89,20,0.0,MY,1679324867
50,quatre cocos,-20.2078,57.7625,27.27,78,40,2.6,MU,1679325113
51,rocha,-34.4833,-54.3333,22.77,80,100,3.58,UY,1679325113
52,carnarvon,-24.8667,113.6333,23.73,78,31,8.02,AU,1679325068
53,aykhal,66.0,111.5,-35.53,100,100,1.63,RU,1679325113
54,gat,31.61,34.7642,17.12,100,30,5.12,IL,1679324941
55,itarema,-2.9248,-39.9167,25.9,81,100,2.99,BR,1679325114
56,leningradskiy,69.3833,178.4167,-11.85,96,100,3.88,RU,1679325114
57,ushuaia,-54.8,-68.3,9.79,76,75,14.92,AR,1679325114
58,cidreira,-30.1811,-50.2056,30.5,51,36,2.61,BR,1679325093
59,meulaboh,4.1363,96.1285,25.84,88,100,1.79,ID,1679325114
60,kazanskaya,45.4106,40.4361,14.02,58,100,3.31,RU,1679325115
61,ishurdi,24.1333,89.0833,21.71,80,97,2.69,BD,1679325115
62,imeni poliny osipenko,52.4201,136.4853,-0.46,97,100,3.8,RU,1679325115
63,yerbogachen,61.2767,108.0108,-32.75,100,76,1.2,RU,1679325116
64,cape town,-33.9258,18.4232,20.62,75,7,4.92,ZA,1679324926
65,punta arenas,-53.15,-70.9167,11.06,53,0,20.06,CL,1679325029
66,takoradi,4.8845,-1.7554,28.67,72,59,5.13,GH,1679324913
67,colares,38.7992,-9.4469,21.55,68,20,5.81,PT,1679325116
68,provideniya,64.3833,-173.3,-3.09,95,100,10.74,RU,1679325116
69,votkinsk,57.0486,53.9872,0.43,99,100,3.65,RU,1679325116
70,busselton,-33.65,115.3333,21.95,56,1,6.63,AU,1679325117
71,thompson,55.7435,-97.8558,-21.95,99,100,1.36,CA,1679325117
72,sorland,67.667,12.6934,1.92,64,75,6.17,NO,1679325117
73,airai,-8.9266,125.4092,15.13,93,75,0.8,TL,1679325119
74,yellowknife,62.456,-114.3525,-18.01,95,80,3.66,CA,1679324995
75,albany,42.6001,-73.9662,4.89,41,0,3.58,US,1679325031
76,vryburg,-26.9566,24.7284,31.04,19,97,7.39,ZA,1679325120
77,mecca,21.4267,39.8261,25.36,26,0,7.58,SA,1679325079
78,kaseda,31.4167,130.3167,15.75,90,100,4.14,JP,1679325120
79,east london,-33.0153,27.9116,28.18,61,100,7.81,ZA,1679325121
80,upernavik,72.7868,-56.1549,-26.69,97,79,5.66,GL,1679325121
81,puro,12.4841,123.3827,23.96,77,37,3.42,PH,1679325121
82,dikson,73.5069,80.5464,-13.43,94,100,3.84,RU,1679325122
83,port elizabeth,-33.918,25.5701,26.17,64,0,9.26,ZA,1679325122
84,castro,-24.7911,-50.0119,26.26,54,87,1.47,BR,1679325122
85,cleves,51.7833,6.15,9.49,76,100,6.09,DE,1679325123
86,narsaq,60.9167,-46.05,5.12,57,100,8.14,GL,1679325123
87,sanchazi,42.0817,126.6003,3.25,82,67,2.67,CN,1679325124
88,touros,-5.1989,-35.4608,29.24,63,34,3.66,BR,1679325068
89,hermanus,-34.4187,19.2345,21.56,61,6,11.73,ZA,1679325124
90,turukhansk,65.8167,87.9833,-13.04,93,100,10.2,RU,1679325124
91,maltahohe,-24.8333,16.9833,31.06,13,83,9.07,NA,1679325125
92,malakal,9.5334,31.6605,37.68,8,95,4.17,SS,1679325125
93,fukue,32.6881,128.8419,14.13,93,100,6.08,JP,1679325125
94,saint-pierre,-21.3393,55.4781,27.82,74,75,3.6,RE,1679325041
95,friedberg,48.3569,10.9846,12.62,62,0,5.66,DE,1679325126
96,hami,42.8,93.45,7.28,32,67,7.89,CN,1679325127
97,stepnogorsk,52.3544,71.8869,-12.09,86,100,3.37,KZ,1679324840
98,new norfolk,-42.7826,147.0587,9.84,66,7,0.69,AU,1679325127
